"Študenti terciarnega izobraževanja po: STATISTIÈNA REGIJA, ŠTUDIJSKO"
"LETO, SPOL , VRSTA IZOBRAŽEVANJA"

" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";"Vrsta izobraževanja - SKUPAJ";"Višje strokovno";"Visokošolsko strokovno (prejšnje)";"Visokošolsko strokovno (1. bolonjska stopnja)";"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Visokošolsko univerzitetno (prejšnje)";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Specialistièno";"Magistrsko (prejšnje)";"Doktorsko (prejšnje)";"Doktorsko (3. bolonjska stopnja)";"Vrsta izobraževanja - SKUPAJ";"Višje strokovno";"Visokošolsko strokovno (prejšnje)";"Visokošolsko strokovno (1. bolonjska stopnja)";"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Visokošolsko univerzitetno (prejšnje)";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Specialistièno";"Magistrsko (prejšnje)";"Doktorsko (prejšnje)";"Doktorsko (3. bolonjska stopnja)";"Vrsta izobraževanja - SKUPAJ";"Višje strokovno";"Visokošolsko strokovno (prejšnje)";"Visokošolsko strokovno (1. bolonjska stopnja)";"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Visokošolsko univerzitetno (prejšnje)";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Specialistièno";"Magistrsko (prejšnje)";"Doktorsko (prejšnje)";"Doktorsko (3. bolonjska stopnja)"
"SLOVENIJA"
" ";"2007/08";115445;16424;25712;11200;11023;41402;221;2909;495;4477;1256;326;48322;8439;11808;4333;4350;15222;109;1160;260;1840;661;140;67123;7985;13904;6867;6673;26180;112;1749;235;2637;595;186
" ";"2008/09";114391;16263;19331;15592;15435;36239;759;3391;485;4902;1381;613;48087;8551;9377;6268;5945;13170;277;1315;216;1993;719;256;66304;7712;9954;9324;9490;23069;482;2076;269;2909;662;357
" ";"2009/10";114873;16594;10374;22748;24006;25251;1688;6752;169;3882;1298;2111;48428;8624;5285;9667;9602;8815;570;2471;100;1615;723;956;66445;7970;5089;13081;14404;16436;1118;4281;69;2267;575;1155
" ";"2010/11";107134;15595;5679;24517;27626;17943;2474;9236;-;79;1057;2928;42182;8490;2539;10337;9742;5358;623;3201;-;26;563;1303;64952;7105;3140;14180;17884;12585;1851;6035;-;53;494;1625
" ";"2011/12";104003;14403;2721;25374;29859;12468;3211;11868;-;1;645;3453;43959;8000;1375;11123;11765;4403;1062;4333;-;-;318;1580;60044;6403;1346;14251;18094;8065;2149;7535;-;1;327;1873
" ";"2012/13";99877;13406;462;25798;30565;7620;3854;14566;-;2;174;3430;41882;7605;241;11251;11806;2610;1307;5385;-;-;70;1607;57995;5801;221;14547;18759;5010;2547;9181;-;2;104;1823
" ";"2013/14";92769;13251;45;23914;29060;2686;4399;16398;-;1;7;3008;38663;7306;31;10424;11201;890;1440;5948;-;1;3;1419;54106;5945;14;13490;17859;1796;2959;10450;-;-;4;1589
" ";"2014/15";85616;11485;1;21748;27144;498;4704;17392;-;-;-;2644;35810;6565;-;9564;10474;180;1511;6301;-;-;-;1215;49806;4920;1;12184;16670;318;3193;11091;-;-;-;1429
