"Otroci, vkljuèeni v vrtec po: ŠOLSKO LETO, STATISTIÈNA REGIJA , SPOL"

"2007/08"
" ";"SLOVENIJA"
" ";" ";"Spol - SKUPAJ";61344
" ";" ";"Deèki";32035
" ";" ";"Deklice";29309
" ";"Pomurska"
" ";" ";"Spol - SKUPAJ";3321
" ";" ";"Deèki";1664
" ";" ";"Deklice";1657
" ";"Podravska"
" ";" ";"Spol - SKUPAJ";8794
" ";" ";"Deèki";4593
" ";" ";"Deklice";4201
" ";"Koroška"
" ";" ";"Spol - SKUPAJ";1869
" ";" ";"Deèki";941
" ";" ";"Deklice";928
" ";"Savinjska"
" ";" ";"Spol - SKUPAJ";8024
" ";" ";"Deèki";4193
" ";" ";"Deklice";3831
" ";"Zasavska"
" ";" ";"Spol - SKUPAJ";981
" ";" ";"Deèki";532
" ";" ";"Deklice";449
" ";"Posavska"
" ";" ";"Spol - SKUPAJ";1935
" ";" ";"Deèki";1021
" ";" ";"Deklice";914
" ";"Jugovzhodna Slovenija"
" ";" ";"Spol - SKUPAJ";4293
" ";" ";"Deèki";2270
" ";" ";"Deklice";2023
" ";"Osrednjeslovenska"
" ";" ";"Spol - SKUPAJ";18549
" ";" ";"Deèki";9736
" ";" ";"Deklice";8813
" ";"Gorenjska"
" ";" ";"Spol - SKUPAJ";6013
" ";" ";"Deèki";3130
" ";" ";"Deklice";2883
" ";"Primorsko-notranjska"
" ";" ";"Spol - SKUPAJ";1333
" ";" ";"Deèki";669
" ";" ";"Deklice";664
" ";"Goriška"
" ";" ";"Spol - SKUPAJ";3056
" ";" ";"Deèki";1635
" ";" ";"Deklice";1421
" ";"Obalno-kraška"
" ";" ";"Spol - SKUPAJ";3176
" ";" ";"Deèki";1651
" ";" ";"Deklice";1525
" ";"stalno prebivališèe neznano ali v tujini"
" ";" ";"Spol - SKUPAJ";15
" ";" ";"Deèki";9
" ";" ";"Deklice";6
"2008/09"
" ";"SLOVENIJA"
" ";" ";"Spol - SKUPAJ";65950
" ";" ";"Deèki";34139
" ";" ";"Deklice";31811
" ";"Pomurska"
" ";" ";"Spol - SKUPAJ";3514
" ";" ";"Deèki";1710
" ";" ";"Deklice";1804
" ";"Podravska"
" ";" ";"Spol - SKUPAJ";9366
" ";" ";"Deèki";4823
" ";" ";"Deklice";4543
" ";"Koroška"
" ";" ";"Spol - SKUPAJ";2016
" ";" ";"Deèki";1011
" ";" ";"Deklice";1005
" ";"Savinjska"
" ";" ";"Spol - SKUPAJ";8643
" ";" ";"Deèki";4432
" ";" ";"Deklice";4211
" ";"Zasavska"
" ";" ";"Spol - SKUPAJ";1118
" ";" ";"Deèki";589
" ";" ";"Deklice";529
" ";"Posavska"
" ";" ";"Spol - SKUPAJ";2042
" ";" ";"Deèki";1050
" ";" ";"Deklice";992
" ";"Jugovzhodna Slovenija"
" ";" ";"Spol - SKUPAJ";4760
" ";" ";"Deèki";2444
" ";" ";"Deklice";2316
" ";"Osrednjeslovenska"
" ";" ";"Spol - SKUPAJ";19728
" ";" ";"Deèki";10326
" ";" ";"Deklice";9402
" ";"Gorenjska"
" ";" ";"Spol - SKUPAJ";6418
" ";" ";"Deèki";3393
" ";" ";"Deklice";3025
" ";"Primorsko-notranjska"
" ";" ";"Spol - SKUPAJ";1550
" ";" ";"Deèki";800
" ";" ";"Deklice";750
" ";"Goriška"
" ";" ";"Spol - SKUPAJ";3402
" ";" ";"Deèki";1814
" ";" ";"Deklice";1588
" ";"Obalno-kraška"
" ";" ";"Spol - SKUPAJ";3393
" ";" ";"Deèki";1747
" ";" ";"Deklice";1646
" ";"stalno prebivališèe neznano ali v tujini"
" ";" ";"Spol - SKUPAJ";16
" ";" ";"Deèki";11
" ";" ";"Deklice";5
"2009/10"
" ";"SLOVENIJA"
" ";" ";"Spol - SKUPAJ";71109
" ";" ";"Deèki";36959
" ";" ";"Deklice";34150
" ";"Pomurska"
" ";" ";"Spol - SKUPAJ";3757
" ";" ";"Deèki";1877
