"Osnovne šole in uèenci po: ŠOLSKO LETO, VRSTA ŠOLE, STATISTIÈNA REGIJA"
", MERITVE"

" ";" ";" ";"Uèenci";"Deèki";"Deklice"
"2000/01"
" ";"Šole - SKUPAJ"
" ";" ";"SLOVENIJA";183897;94500;89397
" ";" ";"Pomurska";11139;5661;5478
" ";" ";"Podravska";27608;14262;13346
" ";" ";"Koroška";7353;3813;3540
" ";" ";"Savinjska";24537;12580;11957
" ";" ";"Zasavska";4082;2051;2031
" ";" ";"Posavska";6595;3404;3191
" ";" ";"Jugovzhodna Slovenija";14587;7503;7084
" ";" ";"Osrednjeslovenska";45076;23170;21906
" ";" ";"Gorenjska";19237;9873;9364
" ";" ";"Primorsko-notranjska";4599;2354;2245
" ";" ";"Goriška";10603;5450;5153
" ";" ";"Obalno-kraška";8481;4379;4102
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";181390;92920;88470
" ";" ";"Pomurska";10998;5581;5417
" ";" ";"Podravska";27185;13995;13190
" ";" ";"Koroška";7228;3737;3491
" ";" ";"Savinjska";24183;12362;11821
" ";" ";"Zasavska";4019;2014;2005
" ";" ";"Posavska";6507;3350;3157
" ";" ";"Jugovzhodna Slovenija";14401;7370;7031
" ";" ";"Osrednjeslovenska";44463;22781;21682
" ";" ";"Gorenjska";19017;9740;9277
" ";" ";"Primorsko-notranjska";4538;2308;2230
" ";" ";"Goriška";10470;5359;5111
" ";" ";"Obalno-kraška";8381;4323;4058
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";2507;1580;927
" ";" ";"Pomurska";141;80;61
" ";" ";"Podravska";423;267;156
" ";" ";"Koroška";125;76;49
" ";" ";"Savinjska";354;218;136
" ";" ";"Zasavska";63;37;26
" ";" ";"Posavska";88;54;34
" ";" ";"Jugovzhodna Slovenija";186;133;53
" ";" ";"Osrednjeslovenska";613;389;224
" ";" ";"Gorenjska";220;133;87
" ";" ";"Primorsko-notranjska";61;46;15
" ";" ";"Goriška";133;91;42
" ";" ";"Obalno-kraška";100;56;44
"2001/02"
" ";"Šole - SKUPAJ"
" ";" ";"SLOVENIJA";180692;92905;87787
" ";" ";"Pomurska";10880;5539;5341
" ";" ";"Podravska";27488;14176;13312
" ";" ";"Koroška";7198;3738;3460
" ";" ";"Savinjska";24283;12536;11747
" ";" ";"Zasavska";4016;2013;2003
" ";" ";"Posavska";6436;3396;3040
" ";" ";"Jugovzhodna Slovenija";14195;7303;6892
" ";" ";"Osrednjeslovenska";44297;22769;21528
" ";" ";"Gorenjska";18820;9644;9176
" ";" ";"Primorsko-notranjska";4441;2279;2162
" ";" ";"Goriška";10422;5310;5112
" ";" ";"Obalno-kraška";8216;4202;4014
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";178345;91402;86943
" ";" ";"Pomurska";10736;5456;5280
" ";" ";"Podravska";27094;13925;13169
" ";" ";"Koroška";7091;3674;3417
" ";" ";"Savinjska";23977;12349;11628
" ";" ";"Zasavska";3952;1977;1975
" ";" ";"Posavska";6360;3350;3010
" ";" ";"Jugovzhodna Slovenija";14004;7168;6836
" ";" ";"Osrednjeslovenska";43704;22378;21326
" ";" ";"Gorenjska";18611;9509;9102
" ";" ";"Primorsko-notranjska";4383;2235;2148
" ";" ";"Goriška";10304;5230;5074
" ";" ";"Obalno-kraška";8129;4151;3978
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";2347;1503;844
" ";" ";"Pomurska";144;83;61
