"","Leto","Regija","Stevilo"
"1","2007/08","Pomurska",9351
"2","2007/08","Podravska",24088
"3","2007/08","Koroška",6234
"4","2007/08","Savinjska",21867
"5","2007/08","Zasavska",3356
"6","2007/08","Posavska",5691
"7","2007/08","Jugovzhodna Slovenija",12542
"8","2007/08","Osrednjeslovenska",42074
"9","2007/08","Gorenjska",17286
"10","2007/08","Primorsko-notranjska",4110
"11","2007/08","Goriška",9453
"12","2007/08","Obalno-kraška",7156
"13","2008/09","Pomurska",9101
"14","2008/09","Podravska",23937
"15","2008/09","Koroška",6089
"16","2008/09","Savinjska",21656
"17","2008/09","Zasavska",3225
"18","2008/09","Posavska",5636
"19","2008/09","Jugovzhodna Slovenija",12246
"20","2008/09","Osrednjeslovenska",42151
"21","2008/09","Gorenjska",17266
"22","2008/09","Primorsko-notranjska",4054
"23","2008/09","Goriška",9303
"24","2008/09","Obalno-kraška",7223
"25","2009/10","Pomurska",9014
"26","2009/10","Podravska",23640
"27","2009/10","Koroška",5983
"28","2009/10","Savinjska",21336
"29","2009/10","Zasavska",3163
"30","2009/10","Posavska",5547
"31","2009/10","Jugovzhodna Slovenija",12003
"32","2009/10","Osrednjeslovenska",42108
"33","2009/10","Gorenjska",17046
"34","2009/10","Primorsko-notranjska",4040
"35","2009/10","Goriška",9106
"36","2009/10","Obalno-kraška",7266
"37","2010/11","Pomurska",8881
"38","2010/11","Podravska",23367
"39","2010/11","Koroška",5913
"40","2010/11","Savinjska",21178
"41","2010/11","Zasavska",3100
"42","2010/11","Posavska",5524
"43","2010/11","Jugovzhodna Slovenija",11861
"44","2010/11","Osrednjeslovenska",42188
"45","2010/11","Gorenjska",17025
"46","2010/11","Primorsko-notranjska",4032
"47","2010/11","Goriška",9058
"48","2010/11","Obalno-kraška",7381
"49","2011/12","Pomurska",8704
"50","2011/12","Podravska",23231
"51","2011/12","Koroška",5834
"52","2011/12","Savinjska",21214
"53","2011/12","Zasavska",3054
"54","2011/12","Posavska",5501
"55","2011/12","Jugovzhodna Slovenija",11861
"56","2011/12","Osrednjeslovenska",42718
"57","2011/12","Gorenjska",17049
"58","2011/12","Primorsko-notranjska",4042
"59","2011/12","Goriška",9062
"60","2011/12","Obalno-kraška",7431
"61","2012/13","Pomurska",8637
"62","2012/13","Podravska",23445
"63","2012/13","Koroška",5788
"64","2012/13","Savinjska",21263
"65","2012/13","Zasavska",3039
"66","2012/13","Posavska",5487
"67","2012/13","Jugovzhodna Slovenija",11851
"68","2012/13","Osrednjeslovenska",43664
"69","2012/13","Gorenjska",17237
"70","2012/13","Primorsko-notranjska",4078
"71","2012/13","Goriška",8995
"72","2012/13","Obalno-kraška",7567
"73","2013/14","Pomurska",8623
"74","2013/14","Podravska",23590
"75","2013/14","Koroška",5699
"76","2013/14","Savinjska",21425
"77","2013/14","Zasavska",3051
"78","2013/14","Posavska",5512
"79","2013/14","Jugovzhodna Slovenija",12010
"80","2013/14","Osrednjeslovenska",44775
"81","2013/14","Gorenjska",17496
"82","2013/14","Primorsko-notranjska",4181
"83","2013/14","Goriška",9113
"84","2013/14","Obalno-kraška",7754
"85","2014/15","Pomurska",8715
"86","2014/15","Podravska",24065
"87","2014/15","Koroška",5827
"88","2014/15","Savinjska",21807
"89","2014/15","Zasavska",3065
"90","2014/15","Posavska",5624
"91","2014/15","Jugovzhodna Slovenija",12242
"92","2014/15","Osrednjeslovenska",46299
"93","2014/15","Gorenjska",17849
"94","2014/15","Primorsko-notranjska",4261
"95","2014/15","Goriška",9305
"96","2014/15","Obalno-kraška",8190
"97","2015/16","Pomurska",8793
"98","2015/16","Podravska",24431
"99","2015/16","Koroška",5851
"100","2015/16","Savinjska",22156
"101","2015/16","Zasavska",3161
"102","2015/16","Posavska",5668
"103","2015/16","Jugovzhodna Slovenija",12329
"104","2015/16","Osrednjeslovenska",47177
"105","2015/16","Gorenjska",18181
"106","2015/16","Primorsko-notranjska",4344
"107","2015/16","Goriška",9483
"108","2015/16","Obalno-kraška",8493
"109","2016/17","Pomurska",8844
"110","2016/17","Podravska",25011
"111","2016/17","Koroška",5917
"112","2016/17","Savinjska",22142
"113","2016/17","Zasavska",4468
"114","2016/17","Posavska",6297
"115","2016/17","Jugovzhodna Slovenija",12613
"116","2016/17","Osrednjeslovenska",48060
"117","2016/17","Gorenjska",18636
"118","2016/17","Primorsko-notranjska",4479
"119","2016/17","Goriška",9730
"120","2016/17","Obalno-kraška",8799
"121","2017/18","Pomurska",8892
"122","2017/18","Podravska",25513
"123","2017/18","Koroška",5937
"124","2017/18","Savinjska",22481
"125","2017/18","Zasavska",4600
"126","2017/18","Posavska",6382
"127","2017/18","Jugovzhodna Slovenija",12980
"128","2017/18","Osrednjeslovenska",49645
"129","2017/18","Gorenjska",18957
"130","2017/18","Primorsko-notranjska",4658
"131","2017/18","Goriška",10033
"132","2017/18","Obalno-kraška",9152
