"","Leto","Regija","Vrsta","Spol","Stevilo"
"1","2007/08","SLOVENIJA","Višje strokovno","Moški",8439
"2","2007/08","SLOVENIJA","Višje strokovno","Ženske",7985
"3","2007/08","SLOVENIJA","Visokošolsko strokovno (prejšnje)","Moški",11808
"4","2007/08","SLOVENIJA","Visokošolsko strokovno (prejšnje)","Ženske",13904
"5","2007/08","SLOVENIJA","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",4333
"6","2007/08","SLOVENIJA","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",6867
"7","2007/08","SLOVENIJA","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",4350
"8","2007/08","SLOVENIJA","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",6673
"9","2007/08","SLOVENIJA","Visokošolsko univerzitetno (prejšnje)","Moški",15222
"10","2007/08","SLOVENIJA","Visokošolsko univerzitetno (prejšnje)","Ženske",26180
"11","2007/08","SLOVENIJA","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",109
"12","2007/08","SLOVENIJA","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",112
"13","2007/08","SLOVENIJA","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",1160
"14","2007/08","SLOVENIJA","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",1749
"15","2007/08","SLOVENIJA","Specialistično","Moški",260
"16","2007/08","SLOVENIJA","Specialistično","Ženske",235
"17","2007/08","SLOVENIJA","Magistrsko (prejšnje)","Moški",1840
"18","2007/08","SLOVENIJA","Magistrsko (prejšnje)","Ženske",2637
"19","2007/08","SLOVENIJA","Doktorsko (prejšnje)","Moški",661
"20","2007/08","SLOVENIJA","Doktorsko (prejšnje)","Ženske",595
"21","2007/08","SLOVENIJA","Doktorsko (3. bolonjska stopnja)","Moški",140
"22","2007/08","SLOVENIJA","Doktorsko (3. bolonjska stopnja)","Ženske",186
"23","2007/08","Pomurska","Višje strokovno","Moški",478
"24","2007/08","Pomurska","Višje strokovno","Ženske",480
"25","2007/08","Pomurska","Visokošolsko strokovno (prejšnje)","Moški",531
"26","2007/08","Pomurska","Visokošolsko strokovno (prejšnje)","Ženske",725
"27","2007/08","Pomurska","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",220
"28","2007/08","Pomurska","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",272
"29","2007/08","Pomurska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",200
"30","2007/08","Pomurska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",243
"31","2007/08","Pomurska","Visokošolsko univerzitetno (prejšnje)","Moški",714
"32","2007/08","Pomurska","Visokošolsko univerzitetno (prejšnje)","Ženske",1312
"33","2007/08","Pomurska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",4
"34","2007/08","Pomurska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",2
"35","2007/08","Pomurska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",35
"36","2007/08","Pomurska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",62
"37","2007/08","Pomurska","Specialistično","Moški",7
"38","2007/08","Pomurska","Specialistično","Ženske",9
"39","2007/08","Pomurska","Magistrsko (prejšnje)","Moški",79
"40","2007/08","Pomurska","Magistrsko (prejšnje)","Ženske",89
"41","2007/08","Pomurska","Doktorsko (prejšnje)","Moški",23
"42","2007/08","Pomurska","Doktorsko (prejšnje)","Ženske",18
"43","2007/08","Pomurska","Doktorsko (3. bolonjska stopnja)","Moški",6
"44","2007/08","Pomurska","Doktorsko (3. bolonjska stopnja)","Ženske",8
"45","2007/08","Podravska","Višje strokovno","Moški",1430
"46","2007/08","Podravska","Višje strokovno","Ženske",1282
"47","2007/08","Podravska","Visokošolsko strokovno (prejšnje)","Moški",1360
"48","2007/08","Podravska","Visokošolsko strokovno (prejšnje)","Ženske",1820
"49","2007/08","Podravska","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",677
"50","2007/08","Podravska","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",845
"51","2007/08","Podravska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",711
"52","2007/08","Podravska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",680
"53","2007/08","Podravska","Visokošolsko univerzitetno (prejšnje)","Moški",2017
"54","2007/08","Podravska","Visokošolsko univerzitetno (prejšnje)","Ženske",3740
"55","2007/08","Podravska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",6
"56","2007/08","Podravska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",5
"57","2007/08","Podravska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",137
"58","2007/08","Podravska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",253
"59","2007/08","Podravska","Specialistično","Moški",26
"60","2007/08","Podravska","Specialistično","Ženske",15
"61","2007/08","Podravska","Magistrsko (prejšnje)","Moški",265
"62","2007/08","Podravska","Magistrsko (prejšnje)","Ženske",402
"63","2007/08","Podravska","Doktorsko (prejšnje)","Moški",91
"64","2007/08","Podravska","Doktorsko (prejšnje)","Ženske",72
"65","2007/08","Podravska","Doktorsko (3. bolonjska stopnja)","Moški",36
"66","2007/08","Podravska","Doktorsko (3. bolonjska stopnja)","Ženske",49
"67","2007/08","Koroška","Višje strokovno","Moški",454
"68","2007/08","Koroška","Višje strokovno","Ženske",405
"69","2007/08","Koroška","Visokošolsko strokovno (prejšnje)","Moški",401
"70","2007/08","Koroška","Visokošolsko strokovno (prejšnje)","Ženske",455
"71","2007/08","Koroška","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",135
"72","2007/08","Koroška","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",158
"73","2007/08","Koroška","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",148
"74","2007/08","Koroška","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",210
"75","2007/08","Koroška","Visokošolsko univerzitetno (prejšnje)","Moški",545
"76","2007/08","Koroška","Visokošolsko univerzitetno (prejšnje)","Ženske",1019
"77","2007/08","Koroška","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",7
"78","2007/08","Koroška","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",3
"79","2007/08","Koroška","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",39
"80","2007/08","Koroška","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",64
"81","2007/08","Koroška","Specialistično","Moški",3
"82","2007/08","Koroška","Specialistično","Ženske",2
"83","2007/08","Koroška","Magistrsko (prejšnje)","Moški",57
"84","2007/08","Koroška","Magistrsko (prejšnje)","Ženske",103
"85","2007/08","Koroška","Doktorsko (prejšnje)","Moški",26
"86","2007/08","Koroška","Doktorsko (prejšnje)","Ženske",11
"87","2007/08","Koroška","Doktorsko (3. bolonjska stopnja)","Moški",6
"88","2007/08","Koroška","Doktorsko (3. bolonjska stopnja)","Ženske",8
"89","2007/08","Savinjska","Višje strokovno","Moški",1292
"90","2007/08","Savinjska","Višje strokovno","Ženske",1251
"91","2007/08","Savinjska","Visokošolsko strokovno (prejšnje)","Moški",1489
"92","2007/08","Savinjska","Visokošolsko strokovno (prejšnje)","Ženske",2205
"93","2007/08","Savinjska","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",558
"94","2007/08","Savinjska","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",894
"95","2007/08","Savinjska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",551
"96","2007/08","Savinjska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",712
"97","2007/08","Savinjska","Visokošolsko univerzitetno (prejšnje)","Moški",1731
"98","2007/08","Savinjska","Visokošolsko univerzitetno (prejšnje)","Ženske",3139
"99","2007/08","Savinjska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",5
"100","2007/08","Savinjska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",9
"101","2007/08","Savinjska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",105
"102","2007/08","Savinjska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",212
"103","2007/08","Savinjska","Specialistično","Moški",24
"104","2007/08","Savinjska","Specialistično","Ženske",20
"105","2007/08","Savinjska","Magistrsko (prejšnje)","Moški",238
"106","2007/08","Savinjska","Magistrsko (prejšnje)","Ženske",349
"107","2007/08","Savinjska","Doktorsko (prejšnje)","Moški",66
"108","2007/08","Savinjska","Doktorsko (prejšnje)","Ženske",51
"109","2007/08","Savinjska","Doktorsko (3. bolonjska stopnja)","Moški",18
"110","2007/08","Savinjska","Doktorsko (3. bolonjska stopnja)","Ženske",13
"111","2007/08","Zasavska","Višje strokovno","Moški",216
"112","2007/08","Zasavska","Višje strokovno","Ženske",174
"113","2007/08","Zasavska","Visokošolsko strokovno (prejšnje)","Moški",260
"114","2007/08","Zasavska","Visokošolsko strokovno (prejšnje)","Ženske",324
"115","2007/08","Zasavska","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",68
"116","2007/08","Zasavska","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",156
"117","2007/08","Zasavska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",78
"118","2007/08","Zasavska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",149
"119","2007/08","Zasavska","Visokošolsko univerzitetno (prejšnje)","Moški",267
"120","2007/08","Zasavska","Visokošolsko univerzitetno (prejšnje)","Ženske",525
"121","2007/08","Zasavska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",1
"122","2007/08","Zasavska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",15
"123","2007/08","Zasavska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",30
"124","2007/08","Zasavska","Specialistično","Moški",7
"125","2007/08","Zasavska","Specialistično","Ženske",8
"126","2007/08","Zasavska","Magistrsko (prejšnje)","Moški",33
"127","2007/08","Zasavska","Magistrsko (prejšnje)","Ženske",56
"128","2007/08","Zasavska","Doktorsko (prejšnje)","Moški",6
"129","2007/08","Zasavska","Doktorsko (prejšnje)","Ženske",10
"130","2007/08","Zasavska","Doktorsko (3. bolonjska stopnja)","Moški",1
"131","2007/08","Zasavska","Doktorsko (3. bolonjska stopnja)","Ženske",2
"132","2007/08","Posavska","Višje strokovno","Moški",292
"133","2007/08","Posavska","Višje strokovno","Ženske",230
"134","2007/08","Posavska","Visokošolsko strokovno (prejšnje)","Moški",448
"135","2007/08","Posavska","Visokošolsko strokovno (prejšnje)","Ženske",532
"136","2007/08","Posavska","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",189
"137","2007/08","Posavska","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",266
"138","2007/08","Posavska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",116
"139","2007/08","Posavska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",200
"140","2007/08","Posavska","Visokošolsko univerzitetno (prejšnje)","Moški",517
"141","2007/08","Posavska","Visokošolsko univerzitetno (prejšnje)","Ženske",886
"142","2007/08","Posavska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",3
"143","2007/08","Posavska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",3
"144","2007/08","Posavska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",23
"145","2007/08","Posavska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",46
"146","2007/08","Posavska","Specialistično","Moški",9
"147","2007/08","Posavska","Specialistično","Ženske",5
"148","2007/08","Posavska","Magistrsko (prejšnje)","Moški",48
"149","2007/08","Posavska","Magistrsko (prejšnje)","Ženske",59
"150","2007/08","Posavska","Doktorsko (prejšnje)","Moški",16
"151","2007/08","Posavska","Doktorsko (prejšnje)","Ženske",6
"152","2007/08","Posavska","Doktorsko (3. bolonjska stopnja)","Moški",1
"153","2007/08","Posavska","Doktorsko (3. bolonjska stopnja)","Ženske",2
"154","2007/08","Jugovzhodna Slovenija","Višje strokovno","Moški",543
"155","2007/08","Jugovzhodna Slovenija","Višje strokovno","Ženske",549
"156","2007/08","Jugovzhodna Slovenija","Visokošolsko strokovno (prejšnje)","Moški",1062
"157","2007/08","Jugovzhodna Slovenija","Visokošolsko strokovno (prejšnje)","Ženske",1217
"158","2007/08","Jugovzhodna Slovenija","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",300
"159","2007/08","Jugovzhodna Slovenija","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",490
"160","2007/08","Jugovzhodna Slovenija","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",231
"161","2007/08","Jugovzhodna Slovenija","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",421
"162","2007/08","Jugovzhodna Slovenija","Visokošolsko univerzitetno (prejšnje)","Moški",1021
"163","2007/08","Jugovzhodna Slovenija","Visokošolsko univerzitetno (prejšnje)","Ženske",1868
"164","2007/08","Jugovzhodna Slovenija","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",5
"165","2007/08","Jugovzhodna Slovenija","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",2
"166","2007/08","Jugovzhodna Slovenija","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",95
